                                                           Stdlib	                                                                                                                           Containers	                                                                                                                                              Batteries	                                                                                                        Base	                                            F#
			Base.Array.filteri : 'a t -> f:(int -> 'a -> bool) -> 'a t	
		BatArray.Labels.find : f:('a -> bool) -> 'a t -> 'a	Base.Array.find_exn : 'a t -> f:('a -> bool) -> 'a	
			Base.Array.find : 'a t -> f:('a -> bool) -> 'a option	
			Base.Array.find_consecutive_duplicate : 'a t -> equal:('a -> 'a -> bool) -> ('a * 'a) option	
	CCArrayLabels.find_idx : f:('a -> bool) -> 'a t -> (int * 'a) option			
ArrayLabels.find_map : f:('a -> 'b option) -> 'a array -> 'b option	CCArrayLabels.find_map : f:('a -> 'b option) -> 'a t -> 'b option	BatArray.Labels.find_map : f:('a -> 'b option) -> 'a array -> 'b option	Base.Array.find_map : 'a t -> f:('a -> 'b option) -> 'b option	
			Base.Array.find_map_exn : 'a t -> f:('a -> 'b option) -> 'b	
	CCArrayLabels.find_map_i : f:(int -> 'a -> 'b option) -> 'a t -> 'b option		Base.Array.find_mapi : 'a t -> f:(int -> 'a -> 'b option) -> 'b option	
			Base.Array.find_mapi_exn : 'a t -> f:(int -> 'a -> 'b option) -> 'b	
ArrayLabels.find_opt : f:('a -> bool) -> 'a array -> 'a option	CCArrayLabels.find_opt : f:('a -> bool) -> 'a array -> 'a option	BatArray.Labels.find_opt : f:('a -> bool) -> 'a t -> 'a option		
		BatArray.Labels.findi : f:('a -> bool) -> 'a t -> int		
			Base.Array.findi : 'a t -> f:(int -> 'a -> bool) -> (int * 'a) option	
			Base.Array.findi_exn : 'a t -> f:(int -> 'a -> bool) -> int * 'a	
	CCArrayLabels.flat_map : f:('a -> 'b t) -> 'a t -> 'b array			
	CCArrayLabels.fold : f:('a -> 'b -> 'a) -> init:'a -> 'b t -> 'a	BatArray.Labels.fold : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a	Base.Array.fold : 'a t -> init:'accum -> f:('accum -> 'a -> 'accum) -> 'accum	
	CCArrayLabels.fold2 : f:('acc -> 'a -> 'b -> 'acc) -> init:'acc -> 'a t -> 'b t -> 'acc			
ArrayLabels.fold_left : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a	CCArrayLabels.fold_left : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a	BatArray.Labels.fold_left : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a		
ArrayLabels.fold_left_map : f:('a -> 'b -> 'a * 'c) -> init:'a -> 'b array -> 'a * 'c array	CCArrayLabels.fold_left_map : f:('a -> 'b -> 'a * 'c) -> init:'a -> 'b array -> 'a * 'c array			
			Base.Array.fold_mapi : 'a t -> init:'b -> f:(int -> 'b -> 'a -> 'b * 'c) -> 'b * 'c t	
			Base.Array.fold_result : 'a t -> init:'accum -> f:('accum -> 'a -> ('accum, 'e) Base__.Result.t) -> ('accum, 'e) Base__.Result.t	
ArrayLabels.fold_right : f:('b -> 'a -> 'a) -> 'b array -> init:'a -> 'a		BatArray.Labels.fold_right : f:('b -> 'a -> 'a) -> 'b array -> init:'a -> 'a	Base.Array.fold_right : 'a t -> f:('a -> 'b -> 'b) -> init:'b -> 'b	
			Base.Array.fold_until : 'a t -> init:'accum -> f:('accum -> 'a -> ('accum, 'final) Base__Container_intf.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final	
		BatArray.Labels.fold_while : p:('acc -> 'a -> bool) -> f:('acc -> 'a -> 'acc) -> init:'acc -> 'a array -> 'acc * int		
	CCArrayLabels.fold_map : f:('acc -> 'a -> 'acc * 'b) -> init:'acc -> 'a t -> 'acc * 'b t			
	CCArrayLabels.foldi : f:('a -> int -> 'b -> 'a) -> init:'a -> 'b t -> 'a		Base.Array.foldi : 'a t -> init:'b -> f:(int -> 'b -> 'a -> 'b) -> 'b	
			Base.Array.folding_map : 'a t -> init:'b -> f:('b -> 'a -> 'b * 'c) -> 'c t	
			Base.Array.folding_mapi : 'a t -> init:'b -> f:(int -> 'b -> 'a -> 'b * 'c) -> 'c t	
ArrayLabels.for_all : f:('a -> bool) -> 'a array -> bool	CCArrayLabels.for_all : f:('a -> bool) -> 'a array -> bool	BatArray.Labels.for_all : f:('a -> bool) -> 'a t -> bool	Base.Array.for_all : 'a t -> f:('a -> bool) -> bool	
ArrayLabels.for_all2 : f:('a -> 'b -> bool) -> 'a array -> 'b array -> bool	CCArrayLabels.for_all2 : f:('a -> 'b -> bool) -> 'a t -> 'b t -> bool		Base.Array.for_all2_exn : 'a t -> 'b t -> f:('a -> 'b -> bool) -> bool	
			Base.Array.for_alli : 'a t -> f:(int -> 'a -> bool) -> bool	
	CCArrayLabels.get_safe : 'a t -> int -> 'a option			
ArrayLabels.init : int -> f:(int -> 'a) -> 'a array	CCArrayLabels.init : int -> f:(int -> 'a) -> 'a array	BatArray.Labels.init : int -> f:(int -> 'a) -> 'a array	Base.Array.init : int -> f:(int -> 'a) -> 'a t	
			Base.Array.invariant : 'a Base__Invariant_intf.inv -> 'a t Base__Invariant_intf.inv	
			Base.Array.is_empty : 'a t -> bool	
			Base.Array.is_sorted : 'a t -> compare:('a -> 'a -> int) -> bool	
			Base.Array.is_sorted_strictly : 'a t -> compare:('a -> 'a -> int) -> bool	
ArrayLabels.iter : f:('a -> unit) -> 'a array -> unit	CCArrayLabels.iter : f:('a -> unit) -> 'a array -> unit	BatArray.Labels.iter : f:('a -> unit) -> 'a array -> unit	Base.Array.iter : 'a t -> f:('a -> unit) -> unit	
ArrayLabels.iter2 : f:('a -> 'b -> unit) -> 'a array -> 'b array -> unit	CCArrayLabels.iter2 : f:('a -> 'b -> unit) -> 'a t -> 'b t -> unit	BatArray.Labels.iter2 : f:('a -> 'b -> unit) -> 'a t -> 'b t -> unit	Base.Array.iter2_exn : 'a t -> 'b t -> f:('a -> 'b -> unit) -> unit	
		BatArray.Labels.iter2i : f:(int -> 'a -> 'b -> unit) -> 'a t -> 'b t -> unit		
ArrayLabels.iteri : f:(int -> 'a -> unit) -> 'a array -> unit	CCArrayLabels.iteri : f:(int -> 'a -> unit) -> 'a array -> unit	BatArray.Labels.iteri : f:(int -> 'a -> unit) -> 'a array -> unit	Base.Array.iteri : 'a t -> f:(int -> 'a -> unit) -> unit	
			Base.Array.last : 'a t -> 'a	
	CCArrayLabels.lookup : cmp:'a ord -> key:'a -> 'a t -> int option			
	CCArrayLabels.lookup_exn : cmp:'a ord -> key:'a -> 'a t -> int			
ArrayLabels.make_float : int -> float array	CCArrayLabels.make_float : int -> float array			
ArrayLabels.make_matrix : dimx:int -> dimy:int -> 'a -> 'a array array	CCArrayLabels.make_matrix : dimx:int -> dimy:int -> 'a -> 'a array array	BatArray.Labels.make_matrix : dimx:int -> dimy:int -> 'a -> 'a array array	Base.Array.make_matrix : dimx:int -> dimy:int -> 'a -> 'a t t	
ArrayLabels.map : f:('a -> 'b) -> 'a array -> 'b array	CCArrayLabels.map : f:('a -> 'b) -> 'a array -> 'b array	BatArray.Labels.map : f:('a -> 'b) -> 'a t -> 'b t	Base.Array.map : 'a t -> f:('a -> 'b) -> 'b t	
ArrayLabels.map2 : f:('a -> 'b -> 'c) -> 'a array -> 'b array -> 'c array	CCArrayLabels.map2 : f:('a -> 'b -> 'c) -> 'a t -> 'b t -> 'c t		Base.Array.map2_exn : 'a t -> 'b t -> f:('a -> 'b -> 'c) -> 'c t	
	CCArrayLabels.map_inplace : f:('a -> 'a) -> 'a t -> unit		Base.Array.map_inplace : 'a t -> f:('a -> 'a) -> unit	
ArrayLabels.mapi : f:(int -> 'a -> 'b) -> 'a array -> 'b array	CCArrayLabels.mapi : f:(int -> 'a -> 'b) -> 'a array -> 'b array	BatArray.Labels.mapi : f:(int -> 'a -> 'b) -> 'a t -> 'b t	Base.Array.mapi : 'a t -> f:(int -> 'a -> 'b) -> 'b t	
			Base.Array.max_elt : 'a t -> compare:('a -> 'a -> int) -> 'a option	
			Base.Array.max_length : int	
ArrayLabels.mem : 'a -> set:'a array -> bool	CCArrayLabels.mem : ?eq:('a -> 'a -> bool) -> 'a -> 'a t -> bool	BatArray.Labels.modify : f:('a -> 'a) -> 'a array -> unit	Base.Array.mem : 'a t -> 'a -> equal:('a -> 'a -> bool) -> bool	
ArrayLabels.memq : 'a -> set:'a array -> bool	CCArrayLabels.memq : 'a -> set:'a array -> bool			
			Base.Array.merge : 'a t -> 'a t -> compare:('a -> 'a -> int) -> 'a t	
			Base.Array.min_elt : 'a t -> compare:('a -> 'a -> int) -> 'a option	
		BatArray.Labels.modifyi : f:(int -> 'a -> 'a) -> 'a array -> unit		
	CCArrayLabels.monoid_product : f:('a -> 'b -> 'c) -> 'a t -> 'b t -> 'c t			
ArrayLabels.of_list : 'a list -> 'a array	CCArrayLabels.of_list : 'a list -> 'a array		Base.Array.of_list : 'a list -> 'a t	
			Base.Array.of_list_map : 'a list -> f:('a -> 'b) -> 'b t	
			Base.Array.of_list_mapi : 'a list -> f:(int -> 'a -> 'b) -> 'b t	
			Base.Array.of_list_rev : 'a list -> 'a t	
			Base.Array.of_list_rev_map : 'a list -> f:('a -> 'b) -> 'b t	
			Base.Array.of_list_rev_mapi : 'a list -> f:(int -> 'a -> 'b) -> 'b t	
ArrayLabels.of_seq : 'a Seq.t -> 'a array	CCArrayLabels.of_seq : 'a Seq.t -> 'a array			
			Base.Array.partition_tf : 'a t -> f:('a -> bool) -> 'a t * 'a t	
			Base.Array.partitioni_tf : 'a t -> f:(int -> 'a -> bool) -> 'a t * 'a t	
	CCArrayLabels.shuffle_with : Random.State.t -> 'a t -> unit		Base.Array.permute : ?random_state:Base__.Random.State.t -> ?pos:int -> ?len:int -> 'a t -> unit	
	CCArrayLabels.pp : ?pp_start:unit printer -> ?pp_stop:unit printer -> ?pp_sep:unit printer -> 'a printer -> 'a t printer			
	CCArrayLabels.pp_i : ?pp_start:unit printer -> ?pp_stop:unit printer -> ?pp_sep:unit printer -> (int -> 'a printer) -> 'a t printer			
	CCArrayLabels.random : 'a random_gen -> 'a t random_gen			
	CCArrayLabels.random_choose : 'a t -> 'a random_gen			
			Base.Array.random_element : ?random_state:Base__.Random.State.t -> 'a t -> 'a option	
			Base.Array.random_element_exn : ?random_state:Base__.Random.State.t -> 'a t -> 'a	
	CCArrayLabels.random_len : int -> 'a random_gen -> 'a t random_gen			
	CCArrayLabels.random_non_empty : 'a random_gen -> 'a t random_gen			
			Base.Array.reduce : 'a t -> f:('a -> 'a -> 'a) -> 'a option	
		BatArray.reduce : ('a -> 'a -> 'a) -> 'a array -> 'a	Base.Array.reduce_exn : 'a t -> f:('a -> 'a -> 'a) -> 'a	
	CCArrayLabels.rev : 'a t -> 'a t		Base.Array.rev : 'a t -> 'a t	
	CCArrayLabels.reverse_in_place : 'a t -> unit		Base.Array.rev_inplace : 'a t -> unit	
	CCArrayLabels.scan_left : f:('acc -> 'a -> 'acc) -> init:'acc -> 'a t -> 'acc t			
			Base.Array.sexp_of_t : ('a -> Sexplib0__.Sexp.t) -> 'a t -> Sexplib0__.Sexp.t	
	CCArrayLabels.shuffle : 'a t -> unit			
ArrayLabels.sort : cmp:('a -> 'a -> int) -> 'a array -> unit	CCArrayLabels.sort : cmp:('a -> 'a -> int) -> 'a array -> unit	BatArray.Labels.sort : cmp:('a -> 'a -> int) -> 'a array -> unit	Base.Array.sort : ?pos:int -> ?len:int -> 'a t -> compare:('a -> 'a -> int) -> unit	
				
	CCArrayLabels.sort_generic : (module MONO_ARRAY with type elt = 'elt and type t = 'arr) -> cmp:('elt -> 'elt -> int) -> 'arr -> unit			
	CCArrayLabels.sort_indices : f:('a -> 'a -> int) -> 'a t -> int array			
	CCArrayLabels.sort_ranking : f:('a -> 'a -> int) -> 'a t -> int array			
	CCArrayLabels.sorted : f:('a -> 'a -> int) -> 'a t -> 'a array		Base.Array.sorted_copy : 'a t -> compare:('a -> 'a -> int) -> 'a t	
ArrayLabels.split : ('a * 'b) array -> 'a array * 'b array	CCArrayLabels.split : ('a * 'b) array -> 'a array * 'b array			
ArrayLabels.stable_sort : cmp:('a -> 'a -> int) -> 'a array -> unit	CCArrayLabels.stable_sort : cmp:('a -> 'a -> int) -> 'a array -> unit	BatArray.Labels.stable_sort : cmp:('a -> 'a -> int) -> 'a array -> unit	Base.Array.stable_sort : 'a t -> compare:('a -> 'a -> int) -> unit	
ArrayLabels.sub : 'a array -> pos:int -> len:int -> 'a array	CCArrayLabels.sub : 'a array -> pos:int -> len:int -> 'a array	BatArray.Labels.sub : 'a array -> pos:int -> len:int -> 'a array	Base.Array.sub : ('a t, 'a t) Base__Blit_intf.sub	
			Base.Array.subo : ('a t, 'a t) Base__Blit_intf.subo	
			Base.Array.sum : (module Base__Container_intf.Summable with type t = 'sum) -> 'a t -> f:('a -> 'sum) -> 'sum	
	CCArrayLabels.swap : 'a t -> int -> int -> unit		Base.Array.swap : 'a t -> int -> int -> unit	
			Base.Array.t_of_sexp : (Sexplib0__.Sexp.t -> 'a) -> Sexplib0__.Sexp.t -> 'a t	
			Base.Array.t_sexp_grammar : 'a Sexplib0.Sexp_grammar.t -> 'a t Sexplib0.Sexp_grammar.t	
			Base.Array.to_array : 'a t -> 'a array	
	CCArrayLabels.to_gen : 'a t -> 'a gen			
	CCArrayLabels.to_iter : 'a t -> 'a iter			
ArrayLabels.to_list : 'a array -> 'a list	CCArrayLabels.to_list : 'a array -> 'a list		Base.Array.to_list : 'a t -> 'a list	
ArrayLabels.to_seq : 'a array -> 'a Seq.t	CCArrayLabels.to_seq : 'a t -> 'a Seq.t		Base.Array.to_sequence : 'a t -> 'a Base__.Sequence.t	
			Base.Array.to_sequence_mutable : 'a t -> 'a Base__.Sequence.t	
ArrayLabels.to_seqi : 'a array -> (int * 'a) Seq.t	CCArrayLabels.to_seqi : 'a array -> (int * 'a) Seq.t			
	CCArrayLabels.to_string : ?sep:string -> ('a -> string) -> 'a array -> string			
			Base.Array.transpose : 'a t t -> 'a t t option	
			Base.Array.transpose_exn : 'a t t -> 'a t t	
			Base.Array.unsafe_blit : ('a t, 'a t) Base__Blit_intf.blit	
Array.split : ('a * 'b) array -> 'a array * 'b array	CCArray.split : ('a * 'b) array -> 'a array * 'b array	BatArray.split : ('a * 'b) array -> 'a array * 'b array	Base.Array.unzip : ('a * 'b) t -> 'a t * 'b t	
			Base.Array.zip : 'a t -> 'b t -> ('a * 'b) t option	
			Base.Array.zip_exn : 'a t -> 'b t -> ('a * 'b) t	
	CCArrayLabels.( -- ) : int -> int -> int t			
	CCArrayLabels.( --^ ) : int -> int -> int t			
	CCArrayLabels.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t			
	CCArrayLabels.( >>| ) : 'a t -> ('a -> 'b) -> 'b t			
	CCArrayLabels.( >|= ) : 'a t -> ('a -> 'b) -> 'b t			
	CCArrayLabels.( and* ) : 'a array -> 'b array -> ('a * 'b) array			
	CCArrayLabels.( and+ ) : 'a array -> 'b array -> ('a * 'b) array			
	CCArrayLabels.( let* ) : 'a array -> ('a -> 'b array) -> 'b array			
	CCArrayLabels.( let+ ) : 'a array -> ('a -> 'b) -> 'b array			Array.allPairs : ('a [] -> 'b [] -> ('a * 'b) [])
Array.append : 'a array -> 'a array -> 'a array	CCArray.append : 'a array -> 'a array -> 'a array	BatArray.append : 'a array -> 'a array -> 'a array		Array.append : ('a [] -> 'a [] -> 'a [])
		BatArray.avg : int array -> float		
				Array.average : ???
				Array.averageBy : ???
		BatArray.backwards : 'a array -> 'a BatEnum.t		
Array.blit : 'a array -> int -> 'a array -> int -> int -> unit	CCArray.blit : 'a array -> int -> 'a array -> int -> int -> unit	BatArray.blit : 'a array -> int -> 'a array -> int -> int -> unit		Array.blit : ('a [] -> int -> 'a [] -> int -> int -> unit)
	CCArray.bsearch : cmp:('a -> 'a -> int) -> 'a -> 'a t -> [ `All_bigger | `All_lower | `At of int | `Empty | `Just_after of int ]	BatArray.bsearch : 'a BatOrd.ord -> 'a array -> 'a -> [ `All_bigger | `All_lower | `At of int | `Empty | `Just_after of int ]		
		BatArray.cartesian_product : 'a array -> 'b array -> ('a * 'b) array		
				Array.choose : (('a -> 'b option) -> 'a [] -> 'b [])
				Array.chunkBySize : (int -> 'a [] -> 'a [] [])
				Array.collect : (('a -> 'b []) -> 'a [] -> 'b [])
Array.combine : 'a array -> 'b array -> ('a * 'b) array	CCArray.combine : 'a array -> 'b array -> ('a * 'b) array	BatArray.combine : 'a array -> 'b array -> ('a * 'b) array		
	CCArray.compare : 'a ord -> 'a t ord	BatArray.compare : 'a BatOrd.comp -> 'a array BatOrd.comp		Array.compareWith : (('a -> 'a -> int) -> 'a [] -> 'a [] -> int)
Array.concat : 'a array list -> 'a array	CCArray.concat : 'a array list -> 'a array	BatArray.concat : 'a array list -> 'a array		Array.concat : (seq<'a []> -> 'a [])
				Array.contains : ('a -> 'a [] -> bool) when 'a : equality
Array.copy : 'a array -> 'a array	CCArray.copy : 'a array -> 'a array	BatArray.copy : 'a array -> 'a array		Array.copy : ('a [] -> 'a [])
		BatArray.count_matching : ('a -> bool) -> 'a array -> int		
				Array.countBy : (('a -> 'b) -> 'a [] -> ('b * int) []) when 'b : equality
				Array.create : (int -> 'a -> 'a [])
Array.create_matrix : int -> int -> 'a -> 'a array array	CCArray.create_matrix : int -> int -> 'a -> 'a array array	BatArray.create_matrix : int -> int -> 'a -> 'a array array		
		BatArray.decorate_fast_sort : ('a -> 'b) -> 'a array -> 'a array		
		BatArray.decorate_stable_sort : ('a -> 'b) -> 'a array -> 'a array		
				Array.distinct : ('a [] -> 'a []) when 'a : equality
				Array.distinctBy : (('a -> 'b) -> 'a [] -> 'a []) when 'b : equality
	CCArray.empty : 'a t			Array.empty : 'a []
		BatArray.enum : 'a array -> 'a BatEnum.t		
	CCArray.equal : 'a equal -> 'a t equal	BatArray.equal : 'a BatOrd.eq -> 'a array BatOrd.eq		
				Array.exactlyOne : ('a [] -> 'a)
	CCArray.except_idx : 'a t -> int -> 'a list			
				Array.except : (seq<'a> -> 'a [] -> 'a []) when 'a : equality
Array.exists : ('a -> bool) -> 'a array -> bool	CCArray.exists : ('a -> bool) -> 'a array -> bool	BatArray.exists : ('a -> bool) -> 'a array -> bool		Array.exists : (('a -> bool) -> 'a [] -> bool)
Array.exists2 : ('a -> 'b -> bool) -> 'a array -> 'b array -> bool	CCArray.exists2 : ('a -> 'b -> bool) -> 'a t -> 'b t -> bool	BatArray.exists2 : ('a -> 'b -> bool) -> 'a array -> 'b array -> bool		Array.exists2 : (('a -> 'b -> bool) -> 'a [] -> 'b [] -> bool)
Array.fast_sort : ('a -> 'a -> int) -> 'a array -> unit	CCArray.fast_sort : ('a -> 'a -> int) -> 'a array -> unit	BatArray.fast_sort : ('a -> 'a -> int) -> 'a array -> unit		
		BatArray.favg : float array -> float		
Array.fill : 'a array -> int -> int -> 'a -> unit	CCArray.fill : 'a array -> int -> int -> 'a -> unit	BatArray.fill : 'a array -> int -> int -> 'a -> unit		Array.fill : ('a [] -> int -> int -> 'a -> unit)
	CCArray.filter : ('a -> bool) -> 'a t -> 'a t	BatArray.filter : ('a -> bool) -> 'a array -> 'a array		Array.filter : (('a -> bool) -> 'a [] -> 'a [])
	CCArray.filter_map : ('a -> 'b option) -> 'a t -> 'b t	BatArray.filter_map : ('a -> 'b option) -> 'a array -> 'b array		
		BatArray.filteri : (int -> 'a -> bool) -> 'a array -> 'a array		
		BatArray.find : ('a -> bool) -> 'a array -> 'a		Array.find : (('a -> bool) -> 'a [] -> 'a)
		BatArray.find_all : ('a -> bool) -> 'a array -> 'a array		
	CCArray.find_idx : ('a -> bool) -> 'a t -> (int * 'a) option			
Array.find_map : ('a -> 'b option) -> 'a array -> 'b option	CCArray.find_map : ('a -> 'b option) -> 'a t -> 'b option	BatArray.find_map : ('a -> 'b option) -> 'a array -> 'b option		
	CCArray.find_map_i : (int -> 'a -> 'b option) -> 'a t -> 'b option			
Array.find_opt : ('a -> bool) -> 'a array -> 'a option	CCArray.find_opt : ('a -> bool) -> 'a array -> 'a option	BatArray.find_opt : ('a -> bool) -> 'a array -> 'a option		
				Array.findBack : (('a -> bool) -> 'a [] -> 'a)
		BatArray.findi : ('a -> bool) -> 'a array -> int		Array.findIndex : (('a -> bool) -> 'a [] -> int)
				Array.findIndexBack : (('a -> bool) -> 'a [] -> int)
	CCArray.flat_map : ('a -> 'b t) -> 'a t -> 'b array			
	CCArray.fold : ('a -> 'b -> 'a) -> 'a -> 'b t -> 'a	BatArray.fold : ('a -> 'b -> 'a) -> 'a -> 'b array -> 'a		Array.fold : (('a -> 'b -> 'a) -> 'a -> 'b [] -> 'a)
	CCArray.fold2 : ('acc -> 'a -> 'b -> 'acc) -> 'acc -> 'a t -> 'b t -> 'acc			Array.fold2 : (('a -> 'b -> 'c -> 'a) -> 'a -> 'b [] -> 'c [] -> 'a)
Array.fold_left : ('a -> 'b -> 'a) -> 'a -> 'b array -> 'a	CCArray.fold_left : ('a -> 'b -> 'a) -> 'a -> 'b array -> 'a	BatArray.fold_left : ('a -> 'b -> 'a) -> 'a -> 'b array -> 'a		
Array.fold_left_map : ('a -> 'b -> 'a * 'c) -> 'a -> 'b array -> 'a * 'c array	CCArray.fold_left_map : ('a -> 'b -> 'a * 'c) -> 'a -> 'b array -> 'a * 'c array	BatArray.fold_left_map : ('a -> 'b -> 'a * 'c) -> 'a -> 'b array -> 'a * 'c array		
		BatArray.fold_lefti : ('a -> int -> 'b -> 'a) -> 'a -> 'b array -> 'a		
	CCArray.fold_map : ('acc -> 'a -> 'acc * 'b) -> 'acc -> 'a t -> 'acc * 'b t			
Array.fold_right : ('b -> 'a -> 'a) -> 'b array -> 'a -> 'a	CCArray.fold_right : ('b -> 'a -> 'a) -> 'b array -> 'a -> 'a	BatArray.fold_right : ('b -> 'a -> 'a) -> 'b array -> 'a -> 'a		Array.foldBack : (('a -> 'b -> 'b) -> 'a [] -> 'b -> 'b)
				Array.foldBack2 : (('a -> 'b -> 'c -> 'c) -> 'a [] -> 'b [] -> 'c -> 'c)
		BatArray.fold_righti : (int -> 'b -> 'a -> 'a) -> 'b array -> 'a -> 'a		
	CCArray.fold_while : ('a -> 'b -> 'a * [ `Continue | `Stop ]) -> 'a -> 'b t -> 'a	BatArray.fold_while : ('acc -> 'a -> bool) -> ('acc -> 'a -> 'acc) -> 'acc -> 'a array -> 'acc * int		
	CCArray.foldi : ('a -> int -> 'b -> 'a) -> 'a -> 'b t -> 'a			
Array.for_all : ('a -> bool) -> 'a array -> bool	CCArray.for_all : ('a -> bool) -> 'a array -> bool	BatArray.for_all : ('a -> bool) -> 'a array -> bool		Array.forall : (('a -> bool) -> 'a [] -> bool)
Array.for_all2 : ('a -> 'b -> bool) -> 'a array -> 'b array -> bool	CCArray.for_all2 : ('a -> 'b -> bool) -> 'a t -> 'b t -> bool	BatArray.for_all2 : ('a -> 'b -> bool) -> 'a array -> 'b array -> bool		Array.forall2 : (('a -> 'b -> bool) -> 'a [] -> 'b [] -> bool)
		BatArray.fsum : float array -> float		
	CCArray.get_safe : 'a t -> int -> 'a option			
				Array.get : ('a [] -> int -> 'a)
				Array.groupBy : (('a -> 'b) -> 'a [] -> ('b * 'a []) []) when 'b : equality
		BatArray.head : 'a array -> int -> 'a array		
				Array.head : ('a [] -> 'a)
				Array.indexed : ('a [] -> (int * 'a) [])
